Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
;;CSO ITALIA N. 34 (z.d. 1);CSO;ITALIA;34;526;1;speciale panificatori;0;;;0
;;CSO LODI N. 104 (z.d. 4);CSO;LODI;104;4068;4;;16;5;;21
;;CSO LODI N. 26 (z.d. 5);CSO;LODI;26;4068;5;speciale panificatori;0;;;0
;;CSO SEMPIONE N. 41 (z.d. 6);CSO;SEMPIONE;41;7137;8;;120;;;120
;;LGO SCALABRINI GIOVANNI BATTISTA N. 2 (z.d. 6);LGO;SCALABRINI GIOVANNI BATTISTA;2;5392;6;;0;;;0
;;PLE STAZIONE DI PORTA GENOVA N. 2 (z.d. 6);PLE;STAZIONE DI PORTA GENOVA;2;5120;6;speciale panificatori;36;;;36
;;"PZA ASPROMONTE N. 1 ang.lulli-7.4.08 tr.set.agrico; isolato:041; accesso: accesso esterno; (z.d. 3)";PZA;ASPROMONTE;1;2246;3;prod. agricolo alim/non alim;3;;;40
;;PZA BONOMELLI GEREMIA N. 10 (z.d. 5);PZA;BONOMELLI GEREMIA;10;4150;5;ESERCIZIO DI VICINATO;14;143;;157
;;PZA OBERDAN GUGLIELMO N. 2 (z.d. 1);PZA;OBERDAN GUGLIELMO;2;2108;1;COMMERCIO AL DETTAGLIO;190;100;;290
;;"PZA SANTA MARIA DELLE GRAZIE N. 1 comm. elettronico; (z.d. 1)";PZA;SANTA MARIA DELLE GRAZIE;1;6164;1;;0;;;0
;;"PZA VIGILI DEL FUOCO N. 10 ; isolato:091; accesso: accesso esterno; (z.d. 3)";PZA;VIGILI DEL FUOCO;10;2710;3;articoli per fumatori;10;;10;70
;;"VIA ABBA GIUSEPPE CESARE N. 32 7.4.08 tras.set.agricoltura; isolato:058; (z.d. 9)";VIA;ABBA GIUSEPPE CESARE;32;1295;9;frutta, verdura e funghi;0;;;0
;;"VIA AIRAGHI GAETANO N. 49 produttore agricolo; (z.d. 7)";VIA;AIRAGHI GAETANO;49;6330;7;produttore agricolo alimentare;0;;;0
;;VIA AIRAGHI GAETANO N. 49 (z.d. 7);VIA;AIRAGHI GAETANO;49;6330;7;coltivatore diretto comune di;0;;;0
;;"VIA ANELLI LUIGI N. 2 ; isolato:120; (z.d. 1)";VIA;ANELLI LUIGI;2;4023;1;articoli regalo;0;;;0
;;VIA ARCONATI COSTANZA N. 2 (z.d. 4);VIA;ARCONATI COSTANZA;2;3211;4;;;;;
;;VIA AUSONIO N. 23 (z.d. 1);VIA;AUSONIO;23;5093;1;speciale panificatori;0;;;0
;;VIA BENGASI N. 2 (z.d. 1);VIA;BENGASI;2;2375;2;;0;;;0
;;VIA BONCOMPAGNI CARLO N. 55 (z.d. 4);VIA;BONCOMPAGNI CARLO;55;4182;4;COMMERCIO AL DETTAGLIO;100;550;;650
;;"VIA CANONICA LUIGI N. 81 7.4.08 tras.set.agricoltura; isolato:104; (z.d. 8)";VIA;CANONICA LUIGI;81;7121;8;frutta, verdura e funghi;0;;;0
;;"VIA CASANOVA LUIGI N. 2 7.4.08 trasm.sett.agricoltura; isolato:245; (z.d. 2)";VIA;CASANOVA LUIGI;2;1197;2;frutta, verdura e funghi;0;;;0
;;VIA CASORETTO N. 8 (z.d. 3);VIA;CASORETTO;8;2420;3;;;;;
;;VIA CESANA BRUNO N. 6 (z.d. 2);VIA;CESANA BRUNO;6;2374;2;COMMERCIO AL DETTAGLIO;28;;;28
;;"VIA CIVITALI MATTEO N. 21 ; isolato:280; (z.d. 7)";VIA;CIVITALI MATTEO;21;6569;7;;0;;;0
;;VIA CONCILIO VATICANO II N. 3 (z.d. 8);VIA;CONCILIO VATICANO II;3;7356;8;;25;;;25
;;VIA CONTE ROSSO N. 21 (z.d. 3);VIA;CONTE ROSSO;21;2667;3;COMMERCIO AL DETTAGLIO;27;2;;29
;;"VIA CONTE VERDE N. 1 ; isolato:059; accesso: accesso esterno; (z.d. 7)";VIA;CONTE VERDE;1;1505;9;articoli tessili per arredamen;88;;;88
;;VIA CORRENTI CESARE N. 26 (z.d. 1);VIA;CORRENTI CESARE;26;555;1;COMMERCIO AL DETTAGLIO;4;72;;76
;;VIA D'ADDA CARLO N. 3 (z.d. 6);VIA;D'ADDA CARLO;3;5272;6;COMMERCIO AL DETTAGLIO;29;23;;52
;;VIA DANTE ALIGHIERI N. 14 (z.d. 1);VIA;DANTE ALIGHIERI;14;612;1;;;;;
;;VIA DEGLI SCIPIONI N. 7 (z.d. 3);VIA;DEGLI SCIPIONI;7;2174;3;speciale panificatori;0;;;0
;;VIA DEI TRANSITI N. 25 (z.d. 2);VIA;DEI TRANSITI;25;2284;2;COMMERCIO AL DETTAGLIO;30;;;30
;;"VIA DELLA CHIESA ROSSA N. 25 7.4.08 tras.sett.agricoltura; isolato:032; (z.d. 5)";VIA;DELLA CHIESA ROSSA;25;5321;5;fiori e piante;0;;;0
;;"VIA DELLA SPIGA N. 25 ; isolato:273; accesso: accesso esterno; (z.d. 1)";VIA;DELLA SPIGA;25;226;1;abbigliamento bambino;48;;;48
;;VIA DELLA SPIGA N. 6 (z.d. 1);VIA;DELLA SPIGA;6;226;1;;;;;
;;VIA DEL MELLA N. 5 (z.d. 7);VIA;DEL MELLA;5;6416;7;;0;;;0
;;"VIA DUDOVICH MARCELLO N. 10 7.4.08 tras.sett.agricoltura; isolato:066; (z.d. 5)";VIA;DUDOVICH MARCELLO;10;5437;5;latteria;0;;;0
;;"VIA FABRIANO N. 2 7.4.08 tras.sett. agricoltura; isolato:161; (z.d. 9)";VIA;FABRIANO;2;1642;9;frutta, verdura e funghi;0;;;0
;;VIA FONTANA N. 20 (z.d. 1);VIA;FONTANA;20;3058;1;;176;;;176
;;VIA GALLARATE N. 400 (z.d. 8);VIA;GALLARATE;400;7420;8;;;;;
;;VIA GIAMBELLINO N. 155 (z.d. 6);VIA;GIAMBELLINO;155;5136;6;panificatore;0;;;0
;;"VIA GOITO N. 9 ; isolato:249; accesso: accesso esterno; (z.d. 1)";VIA;GOITO;9;1039;1;casalinghi;164;;;164
;;"VIA GOZZOLI BENOZZO 7.4.08 tras.sett.agricoltura num.097/a; isolato:255; (z.d. 7)";VIA;VODICE;1;6552;7;fiori e piante;0;;;0
;;"VIA GUIDO D'AREZZO N. 6 interno studio medico; (z.d. 8)";VIA;GUIDO D'AREZZO;6;6189;8;integratori alimentari;2;;;250
;;VIA IMBONATI CARLO N. 71 (z.d. 7);VIA;IMBONATI CARLO;71;1311;9;;30;;;30
;;VIA INGANNI ANGELO N. 29 (z.d. 6);VIA;INGANNI ANGELO;29;6672;6;speciale panificatori;0;;;0
;;"VIA LAMBRATE N. 13 ; isolato:001; accesso: accesso esterno; (z.d. 3)";VIA;LAMBRATE;13;2421;3;accessori e ricambi auto-moto;27;170;;197
;;VIA LARGA N. 12 (z.d. 1);VIA;LARGA;12;318;1;coltivatore diretto;0;;;0
;;VIA LEONCAVALLO RUGGERO N. 10 (z.d. 3);VIA;LEONCAVALLO RUGGERO;10;2389;3;;0;;;0
;;VIA LIVRAGHI GIOVANNI N. 14 (z.d. 2);VIA;LIVRAGHI GIOVANNI;14;2443;2;;;;;
;;VIA LODOVICO IL MORO N. 77 (z.d. 6);VIA;LODOVICO IL MORO;77;5290;6;;0;;;0
;;"VIA LOMAZZO PAOLO N. 10 23.5.08 tras. sett.agricoltura; isolato:072; (z.d. 8)";VIA;LOMAZZO PAOLO;10;7079;8;frutta, verdura e funghi;0;;;0
;;VIA LORENTEGGIO N. 41 (z.d. 6);VIA;LORENTEGGIO;41;5132;6;;;;;
;;VIA LORENTEGGIO N. 45 (z.d. 6);VIA;LORENTEGGIO;45;5132;6;CONFEZIONI PER ADULTI;24;9;;33
;;VIA MAC MAHON N. 77 (z.d. 8);VIA;MAC MAHON;77;7221;8;speciale panificatori;0;;;0
;;VIA MARCO POLO N. 13 (z.d. 9);VIA;MARCO POLO;13;1103;9;;;;;
;;VIA MARGHERA N. 51 (z.d. 7);VIA;MARGHERA;51;6280;7;panificatore;12;;;12
;;VIA MAROCHETTI CARLO N. 7 (z.d. 4);VIA;MAROCHETTI CARLO;7;4185;4;COMMERCIO AL DETTAGLIO;15;13;;28
;;VIA MASOLINO DA PANICALE N. 4 (z.d. 8);VIA;MASOLINO DA PANICALE;4;7264;8;;40;11;;51
;;VIA MELZI D'ERIL FRANCESCO N. 3 (z.d. 1);VIA;MELZI D'ERIL FRANCESCO;3;7118;1;impianto di panificazione;0;;;0
;;VIA MENOTTI CIRO N. 14 (z.d. 3);VIA;MENOTTI CIRO;14;3184;3;;0;;;0
;;"VIA MOLINO DELLE ARMI trasloco dal 31.7.06 num.019/21; isolato:217; accesso: accesso esterno; (z.d. 1)";VIA;MOLINO DELLE ARMI;;591;1;fiori e piante;115;;;190
;;"VIA MONTEFELTRO N. 6 ; isolato:188; accesso: accesso esterno; (z.d. 8)";VIA;MONTEFELTRO;6;7411;8;articoli in gomma e plastica;100;;;100
;;"VIA MURAT GIOACCHINO N. 60 7.4.08 tras.set.agricoltura; isolato:020; (z.d. 9)";VIA;MURAT GIOACCHINO;60;1316;9;frutta, verdura e funghi;0;;;0
;;VIA NEERA ANNA N. 46 (z.d. 5);VIA;NEERA ANNA;46;5326;5;;115;10;;125
;;"VIA PADOVA N. 60 ; isolato:140; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;60;2275;2;abbigliamento;36;;;36
;;VIA PADOVA N. 94 (z.d. 2);VIA;PADOVA;94;2275;2;speciale panificatori;0;;;0
;;VIA PADOVA N. 98 (z.d. 2);VIA;PADOVA;98;2275;2;;65;;;65
;;VIA PIACENZA N. 12 (z.d. 5);VIA;PIACENZA;12;4064;5;;0;;;0
;;"VIA POLLAK LEOPOLDO N. 3 7.4.08 tras.set.agricoltura; isolato:129; (z.d. 7)";VIA;POLLAK LEOPOLDO;3;6853;7;prodotti per l' agricoltura;0;;;0
;;VIA RIPAMONTI GIUSEPPE N. 204 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;204;4066;5;speciale panificatori;0;;;0
;;"VIA ROCCA D'ANFO N. 4 7.4.08 trasm.sett.agricoltura; isolato:091; (z.d. 9)";VIA;ROCCA D'ANFO;4;1556;9;frutta, verdura e funghi;0;;;0
;;"VIA ROSSI PELLEGRINO N. 24 ; isolato:191; accesso: accesso esterno; (z.d. 8)";VIA;ROSSI PELLEGRINO;24;1510;9;tappezzerie e moquettes;152;;;152
;;VIA SARPI FRA' PAOLO N. 53 (z.d. 1);VIA;SARPI FRA' PAOLO;53;7210;1;;;;;
;;"VIA SASSOFERRATO N. 1 ; isolato:192; accesso: accesso esterno; (z.d. 1)";VIA;SASSOFERRATO;1;4109;1;apparecch. elettroniche;54;;;164
;;VIA SETTEMBRINI LUIGI N. 34 (z.d. 3);VIA;SETTEMBRINI LUIGI;34;2127;3;COMMERCIO AL DETTAGLIO;15;;;15
;;"VIA SORESINA GIOVANNI BATTISTA N. 2 ; isolato:240; accesso: accesso esterno; (z.d. 6)";VIA;SORESINA GIOVANNI BATTISTA;2;6207;7;mobili;71;;;71
;;VIA TADINO ALESSANDRO N. 15 (z.d. 3);VIA;TADINO ALESSANDRO;15;2109;3;;240;;;240
;;VIA TADINO ALESSANDRO N. 48 (z.d. 3);VIA;TADINO ALESSANDRO;48;2109;3;;50;;;50
;;VIA TIEPOLO GIAN BATTISTA N. 60 (z.d. 3);VIA;TIEPOLO GIAN BATTISTA;60;3126;3;speciale panificatori;0;;;0
;;VIA TONALE N. 16 (z.d. 2);VIA;TONALE;16;1213;2;;22;;;22
;;"VIA TRILUSSA N. 12 ; isolato:063; accesso: accesso esterno; (z.d. 8)";VIA;TRILUSSA;12;7367;8;radio tv, elettrodom,app.radio;184;;;184
;;"VIA VERRI PIETRO N. 1 ;via verri pietro 001; isolato:363; accesso: accesso interno; (z.d. 1)";VIA;VERRI PIETRO;1;223;1;armi e munizioni;182;;;182
;;VIA WASHINGTON GIORGIO N. 88 (z.d. 6);VIA;WASHINGTON GIORGIO;88;6111;6;OTTICA;87;49;;136
;;"VIA ZANTE N. 21 ; isolato:059; accesso: accesso esterno; (z.d. 4)";VIA;ZANTE;21;3364;4;merceria;46;;;46
;;VIA ZANTE N. 30 (z.d. 4);VIA;ZANTE;30;3364;4;speciale panificatori;0;;;0
;;VLE ABRUZZI N. 19 (z.d. 3);VLE;ABRUZZI;19;2177;3;speciale panificatori;0;;;0
;;VLE ARETUSA N. 34 (z.d. 7);VLE;ARETUSA;34;6565;7;speciale panificatori;0;;;0
;;"VLE CRISPI FRANCESCO N. 2 interno superspacci alimentari; isolato:318; accesso: accesso interno; (z.d. 2)";VLE;CRISPI FRANCESCO;2;1063;1;latteria;18;;;18
;;"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 9 ; isolato:114; accesso: accesso interno; (z.d. 3)";VLE;DELLE RIMEMBRANZE DI LAMBRATE;9;2664;3;metalsiderurgici;50;;;50
;;"VLE ESPINASSE CARLO N. 14 ; isolato:265; accesso: accesso esterno; (z.d. 8)";VLE;ESPINASSE CARLO;14;7390;8;autoveicoli;86;160;;246
;;"VLE LUNIGIANA N. 20 ; isolato:311; accesso: accesso esterno; (z.d. 2)";VLE;LUNIGIANA;20;1214;2;pasticceria - gelateria;41;;;41
;;VLE PAPINIANO N. 12 (z.d. 6);VLE;PAPINIANO;12;5097;1;;18;;;18
;carlo zini;"RIP DI PTA TICINESE N. 63 ; isolato:071; accesso: accesso esterno; (z.d. 6)";RIP;DI PTA TICINESE;63;5150;6;prod. x igiene persona-casa;39;;;39
;computer center;"VIA SANTA MONICA N. 3 ; isolato:134; accesso: accesso esterno; (z.d. 9)";VIA;SANTA MONICA;3;1448;9;programmazione e sistemi informatici  -computer;72;10;;82
;gavi camiceria;"VIA BELLINI GENTILE N. 2 ; isolato:073; accesso: accesso esterno; (z.d. 6)";VIA;BELLINI GENTILE;2;5387;6;camiceria;39;;;39
;la commercialesettembrini;"VIA SETTEMBRINI LUIGI N. 36 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA;SETTEMBRINI LUIGI;36;2127;3;prodotti artigianato nazionale;107;13;;120
;produttore agricolo;"CSO MAGENTA N. 12 7.4.08 tras.set.agricoltura;cso magenta 012; isolato:291; (z.d. 1)";CSO;MAGENTA;12;604;1;frutta, verdura e funghi;0;;;0
;produttore agricolo;"VIA OXILIA NINO N. 9 produttore agricolo; isolato:329; (z.d. 2)";VIA;OXILIA NINO;9;2287;2;vini - olii e liquori in recip;0;;;0
;produttore agricolo;VIA RIPAMONTI GIUSEPPE N. 436 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;436;4066;5;fiori e piante;0;;;0
;produttore agricolo;"VIA RIPAMONTI GIUSEPPE N. 549 7.4.08 tras.set.agricoltura; isolato:501; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;549;4066;5;fiori e piante;0;;;0
;produttore agricolo;"VIA SELVANESCO N. 25 7.4.08 tras.set. agricoltura; isolato:202; (z.d. 5)";VIA;SELVANESCO;25;4350;5;frutta, verdura e funghi;0;;;0
;produttore agricolo;"VLE TROYA CARLO N. 23 7.4.08 tras.sett.agricoltura; isolato:029; (z.d. 6)";VLE;TROYA CARLO;23;5140;6;frutta, verdura e funghi;0;;;0
;specialita  regionali;"VIA SAMMARTINI GIOVANNI BATTISTA N. 69 ; isolato:141; accesso: accesso esterno; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;69;1202;2;panificio (con forno);18;;;18
;tessuti;"VIA MUZIO SCEVOLA N. 4 ; isolato:115; accesso: accesso esterno; (z.d. 3)";VIA;MUZIO SCEVOLA;4;2663;3;tessuti per abbigliamento;18;;;18
alimentare;;"ALZ NAVIGLIO GRANDE N. 2 ; isolato:057; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO GRANDE;2;5144;6;gelateria;14;;;14
alimentare;;"ALZ NAVIGLIO PAVESE N. 2 ; isolato:074; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO PAVESE;2;5161;6;gelateria;25;;;32
alimentare;;"ALZ NAVIGLIO PAVESE N. 2 ; isolato:074; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO PAVESE;2;5161;6;panificio (con forno);30;30;;60
alimentare;;ALZ NAVIGLIO PAVESE N. 2 (z.d. 6);ALZ;NAVIGLIO PAVESE;2;5161;6;bibite;3;;;3
alimentare;;ALZ NAVIGLIO PAVESE N. 34 (z.d. 6);ALZ;NAVIGLIO PAVESE;34;5161;6;bevande in attivita' artigianale;4;;;28
alimentare;;"ALZ NAVIGLIO PAVESE N. 6 ; isolato:074; accesso: accesso esterno; (z.d. 6)";ALZ;NAVIGLIO PAVESE;6;5161;6;bibite e bevande analcoliche;17;;;35
alimentare;;"BST DI PORTA VENEZIA N. 1 ; isolato:018; accesso: accesso esterno; (z.d. 1)";BST;DI PORTA VENEZIA;1;2106;1;latteria;32;;;77
alimentare;;"BST DI PORTA VOLTA N. 9 ; isolato:084; accesso: accesso esterno; (z.d. 1)";BST;DI PORTA VOLTA;9;1066;1;minimercati;30;20;;50
alimentare;;"CSO BUENOS AIRES N. 15 ; isolato:105; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;15;2129;3;frutta, verdura e funghi;37;60;;97
alimentare;;"CSO COLOMBO CRISTOFORO N. 10 ; isolato:048; accesso: accesso esterno; (z.d. 6)";CSO;COLOMBO CRISTOFORO;10;5114;6;minimercati;55;40;;90
alimentare;;"CSO COLOMBO CRISTOFORO N. 1 ; isolato:055; accesso: accesso esterno; (z.d. 6)";CSO;COLOMBO CRISTOFORO;1;5114;6;macelleria;34;;;45
alimentare;;"CSO DI PORTA NUOVA N. 32 ; isolato:088; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA NUOVA;32;1044;1;salumeria - rosticceria - cibi;17;;;33
alimentare;;"CSO DI PORTA NUOVA N. 34 ; isolato:088; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA NUOVA;34;1044;1;panetteria;47;9;;56
alimentare;;"CSO DI PORTA ROMANA N. 103 ; isolato:038; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;103;402;1;frutta, verdura e funghi;24;10;;34
alimentare;;"CSO DI PORTA ROMANA N. 128 ; isolato:039; (z.d. 1)";CSO;DI PORTA ROMANA;128;402;1;rosticceria;100;;;100
alimentare;;"CSO DI PORTA ROMANA N. 1 ;cso di porta romana 001; isolato:394; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;1;402;1;macelleria;28;1;;29
alimentare;;"CSO DI PORTA ROMANA N. 25 ;cso di porta romana 025; isolato:327; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;25;402;1;bibite e bevande analcoliche;30;10;;40
alimentare;;"CSO DI PORTA ROMANA N. 44 ;cso di porta romana 044; isolato:270; (z.d. 1)";CSO;DI PORTA ROMANA;44;402;1;minimercati;22;43;;65
alimentare;;CSO DI PORTA ROMANA N. 51 (z.d. 1);CSO;DI PORTA ROMANA;51;402;1;prodotti ittici;24;;;93
alimentare;;"CSO DI PORTA ROMANA N. 57 ;cso di porta romana 057; isolato:115; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;57;402;1;panificio (con forno);30;90;;120
alimentare;;CSO DI PORTA ROMANA N. 94 (z.d. 1);CSO;DI PORTA ROMANA;94;402;1;articoli di erboristeria;10;;;13
alimentare;;CSO DI PORTA TICINESE num. 96/98 accesso esterno (z.d. 1);CSO;DI PORTA TICINESE;;541;1;pasticceria - gelateria;11;89;;100
alimentare;;"CSO DI PORTA VIGENTINA N. 30 ; isolato:119; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VIGENTINA;30;4026;1;panificio (con forno);25;30;;55
alimentare;;"CSO DI PORTA VIGENTINA N. 32 ; isolato:119; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VIGENTINA;32;4026;1;salumeria - rosticceria - cibi;24;21;;45
alimentare;;"CSO DI PORTA VITTORIA N. 42 ; isolato:033; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA VITTORIA;42;3016;1;pasticceria;50;;;70
alimentare;;"CSO DI PORTA VITTORIA N. 46 ; isolato:033; (z.d. 1)";CSO;DI PORTA VITTORIA;46;3016;1;rosticceria;27;;;108
alimentare;;"CSO GARIBALDI GIUSEPPE N. 117 ; isolato:004; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;117;1010;1;vini - olii e liquori in recip;15;;;0
alimentare;;"CSO GARIBALDI GIUSEPPE N. 12 ; isolato:244; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;12;1010;1;caffe crudo e torrefatto;11;107;;118
alimentare;;CSO GARIBALDI GIUSEPPE N. 39 (z.d. 1);CSO;GARIBALDI GIUSEPPE;39;1010;1;prodotti di cioccolateria.;16;;;33
alimentare;;CSO GARIBALDI GIUSEPPE N. 49 (z.d. 1);CSO;GARIBALDI GIUSEPPE;49;1010;1;prodotti caseari;30;;;30
alimentare;;"CSO GARIBALDI GIUSEPPE N. 55 ; isolato:171; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;55;1010;1;vini - olii e liquori in recip;20;65;;85
alimentare;;"CSO GARIBALDI GIUSEPPE N. 75 ; isolato:171; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;75;1010;1;salumeria - rosticceria - cibi;32;3;;35
alimentare;;"CSO GARIBALDI GIUSEPPE N. 93 ; isolato:081; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;93;1010;1;salumeria - rosticceria - cibi;30;;;60
alimentare;;"CSO GENOVA N. 15 ; isolato:217; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;15;5164;1;frutta, verdura e funghi;23;;;23
alimentare;;"CSO GENOVA N. 16 ; isolato:218; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;16;5164;1;non utilizzare (ex macell);25;;;25
alimentare;;"CSO GENOVA N. 19 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;19;5164;1;vini - olii e liquori in recip;65;101;;166
alimentare;;CSO GENOVA N. 21 (z.d. 1);CSO;GENOVA;21;5164;1;prodotti alimentari in recipienti chiusi;28;;;30
alimentare;;CSO GENOVA N. 22 (z.d. 1);CSO;GENOVA;22;5164;1;prodotti da forno, pasticceria, salumeria;8;;;64
alimentare;;CSO GENOVA N. 3 (z.d. 1);CSO;GENOVA;3;5164;1;sushi, alimenti confezionati, bevande;19;;;34
alimentare;;"CSO GENOVA N. 4 ; isolato:455; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;4;5164;1;panetteria;16;12;;28
alimentare;;"CSO INDIPENDENZA N. 20 ; isolato:007; accesso: accesso esterno; (z.d. 4)";CSO;INDIPENDENZA;20;3118;4;panificio (con forno);40;;;69
alimentare;;"CSO ITALIA N. 11 ;cso italia 011; isolato:355; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;11;526;1;caffe crudo e torrefatto;28;4;;32
alimentare;;"CSO ITALIA N. 23 presso societa' ras;cso italia 023; isolato:271; (z.d. 1)";CSO;ITALIA;23;526;1;rosticceria;6;;;6
alimentare;;"CSO ITALIA N. 34 ;cso italia 034; isolato:273; (z.d. 1)";CSO;ITALIA;34;526;1;paste alimentari;34;;;177
alimentare;;"CSO ITALIA N. 38 ;cso italia 038; isolato:273; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;38;526;1;cibi cotti da asportare;35;;;43
alimentare;;"CSO ITALIA N. 40 ;cso italia 040; isolato:476; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;40;526;1;vini - olii e liquori in recip;30;;;0
alimentare;;"CSO ITALIA N. 6 ;cso italia 006; isolato:396; (z.d. 1)";CSO;ITALIA;6;526;1;pasticceria;15;111;;126
alimentare;;"CSO ITALIA N. 6 ingresso via fieno;cso italia 006; isolato:396; accesso: accesso esterno; (z.d. 1)";CSO;ITALIA;6;526;1;frutta, verdura e funghi;41;;;66
alimentare;;CSO LODI N. 105 (z.d. 4);CSO;LODI;105;4068;4;bibite, bevande e generi alimentari;2;;;21
alimentare;;"CSO LODI N. 107 ; isolato:026; accesso: accesso esterno; (z.d. 4)";CSO;LODI;107;4068;4;panetteria;15;;;15
alimentare;;"CSO LODI N. 108 ; isolato:050; accesso: accesso esterno; (z.d. 4)";CSO;LODI;108;4068;4;frutta, verdura e funghi;20;20;;40
alimentare;;"CSO LODI N. 108 ; isolato:050; accesso: accesso esterno; (z.d. 4)";CSO;LODI;108;4068;4;salumeria - rosticceria - cibi;32;70;;102
alimentare;;"CSO LODI N. 108 ; isolato:050; (z.d. 4)";CSO;LODI;108;4068;4;bibite e bevande analcoliche;18;17;;35
alimentare;;"CSO LODI N. 113 ; isolato:053; (z.d. 4)";CSO;LODI;113;4068;4;panetteria;26;47;;73
alimentare;;"CSO LODI N. 13 ; isolato:170; (z.d. 4)";CSO;LODI;13;4068;4;bibite e bevande analcoliche;40;16;;56
alimentare;;"CSO LODI N. 26 ; isolato:198; (z.d. 5)";CSO;LODI;26;4068;5;minimercati;60;;;110
alimentare;;"CSO LODI N. 36 ; isolato:200; accesso: accesso esterno; (z.d. 5)";CSO;LODI;36;4068;5;panificio (con forno);20;30;;50
alimentare;;"CSO LODI N. 80 ; isolato:024; accesso: accesso esterno; (z.d. 4)";CSO;LODI;80;4068;4;panetteria;40;24;;64
alimentare;;"CSO LODI N. 84 ; isolato:024; accesso: accesso esterno; (z.d. 4)";CSO;LODI;84;4068;4;panetteria;40;;;40
alimentare;;"CSO LODI N. 90 ; isolato:024; (z.d. 4)";CSO;LODI;90;4068;4;bibite e bevande analcoliche;7;;;32
alimentare;;"CSO MAGENTA N. 30 ;cso magenta 030; isolato:291; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;30;604;1;dolciumi;25;;;25
alimentare;;"CSO MAGENTA N. 78 ;cso magenta 078; isolato:145; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;78;604;1;frutta, verdura e funghi;16;16;;32
alimentare;;"CSO MAGENTA N. 87 ;cso magenta 087; isolato:068; (z.d. 1)";CSO;MAGENTA;87;604;1;salumeria;49;162;;211
alimentare;;"CSO MONFORTE N. 25 ;cso monforte 025; isolato:098; accesso: accesso esterno; (z.d. 1)";CSO;MONFORTE;25;348;1;pasticceria;36;10;;46
alimentare;;"CSO SAN GOTTARDO N. 12 ; isolato:094; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;12;5203;5;panificio (con forno);40;;;40
alimentare;;"CSO SAN GOTTARDO N. 15 ; isolato:095; (z.d. 5)";CSO;SAN GOTTARDO;15;5203;5;bibite e bevande analcoliche;2;;;22
alimentare;;"CSO SAN GOTTARDO N. 30 ; isolato:094; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;30;5203;5;salumeria;40;;;260
alimentare;;"CSO SAN GOTTARDO N. 41 ; isolato:114; (z.d. 5)";CSO;SAN GOTTARDO;41;5203;5;gelateria;22;;;22
alimentare;;"CSO SAN GOTTARDO N. 49 ; isolato:128; (z.d. 5)";CSO;SAN GOTTARDO;49;5203;5;paste alimentari;41;;;136
alimentare;;"CSO SAN GOTTARDO N. 51 ; isolato:128; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;51;5203;5;salumeria;16;4;;20
alimentare;;"CSO SAN GOTTARDO N. 8 ; isolato:094; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;8;5203;5;minimercati;53;22;;75
